#FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
13B-587-68A	13B-587-68A	-0.0190638	-0.0132037	-0.00238844	-0.0180871	-0.0081804	0.0443842	-0.00558323	0.00836529	0.00567104	-0.00932655
14H-588-68B	14H-588-68B	-0.0226679	-0.00360902	-0.00220053	-0.0619315	-0.0160362	0.100219	0.010435	-0.0189602	0.0355558	0.0331941
176	176	-0.0182792	-0.0838311	0.0514185	0.0421551	-0.0139203	-0.0372569	0.0426903	-0.0701861	-0.0480221	-0.00934129
197A-381-68A	197A-381-68A	0.0206548	0.0079243	0.0273789	-0.0271553	-0.00528262	0.0410463	0.0307989	-0.00362902	0.00988556	-0.00568907
2	2	0.0269325	0.0479807	0.0750367	0.0123274	-0.209326	-0.00102909	-0.0984635	0.0413664	-0.106629	-0.041765
21-396-68B	21-396-68B	-0.0266664	-0.0243702	0.0063389	-0.0367894	-0.0239584	0.0717634	0.0225053	-0.00739311	0.0595245	0.0493056
226	226	-0.0175486	-0.0763239	0.0486338	0.0367431	-0.0162265	-0.0309552	0.0378443	-0.0579159	-0.0430897	-0.00836242
245	245	0.0220499	-0.0144162	0.0113703	-0.0153311	0.0188149	0.0414246	-0.0322343	0.0239894	0.036381	0.00866669
257A9	257A9	0.0378899	-0.0219452	0.0162746	0.00110797	0.0289676	0.0193556	-0.0434547	0.00875203	0.0605217	-0.00673044
34f	34f	-0.0308034	0.0037562	-0.0210377	0.0229588	0.000811095	0.0237476	-0.0102327	0.0461466	0.020694	0.000846247
442A-431-68D	442A-431-68D	0.0415091	-0.00953922	0.00269207	-0.00024496	0.0205377	0.00895518	-0.0250004	0.0444635	-0.00583668	0.0106119
469	469	-0.0277446	-0.0389443	0.0138306	0.0349845	-0.0135991	-0.00680656	0.0119381	0.015578	0.00650763	0.00736643
471_U6	471_U6	-0.00138847	-0.0194714	0.042325	0.00335296	-0.0746855	0.0207655	-0.0409454	0.0260017	-0.069734	-0.0293724
592	592	-0.0255479	-0.0281609	0.00459804	0.0220267	-0.0100642	0.00311667	0.00737512	0.014902	0.0149856	-0.00343955
789	789	-0.0250183	-0.0342927	0.0130831	0.0350591	-0.0142276	-0.006135	0.00845345	0.0156296	0.00429552	0.00494881
81-1	81-1	0.0743354	-0.0164287	0.01853	-0.0206725	0.0412409	0.0253208	-0.0445304	0.0301851	0.0140751	0.0140462
83610b	83610b	0.00452386	0.0411912	0.0176632	-0.116456	-0.0777694	-0.0696961	-0.0494168	-0.0326795	-0.056608	-0.0257418
83612b	83612b	0.00110368	0.0358949	0.013061	-0.0994039	-0.0689985	-0.0559602	-0.0480026	-0.0217448	-0.051052	-0.0247522
908	908	-0.0348758	-0.0107006	-0.0110586	0.0272774	-0.0111933	0.00232443	-0.00790725	0.0432518	0.0221637	0.000294216
A10579	A10579	-0.015866	0.0461877	-0.0301856	0.0386454	0.0263051	0.00652775	-0.00578126	0.0118509	0.0349218	0.00314981
A15	A15	0.101203	0.0261912	0.0602161	-0.00406253	0.04575	-0.00843319	0.0577149	0.0174416	-0.0085249	0.0533188
A632_sh2sh2	A632_sh2sh2	0.0845518	0.156265	0.0920206	0.060559	-0.196781	-0.015359	-0.00891522	-0.153847	0.109577	-0.0147162
A632_susu	A632_susu	0.0828899	0.150677	0.0902107	0.0568513	-0.19375	-0.0136209	-0.0118416	-0.143501	0.101363	-0.0104445
A648	A648	0.0874294	0.0413908	0.0805798	-0.00332764	0.0624949	-0.012052	0.149198	0.067351	-0.0557095	0.357908
A684su	A684su	0.00519652	0.033754	-0.00237094	0.0139342	0.0238308	-0.00735251	0.0183875	0.0380744	0.0116432	0.00732965
A685su	A685su	-0.000724091	0.0347596	-0.0083703	0.0190784	0.0244733	0.00104068	-0.00220269	0.0170198	0.00877077	0.0134413
A686su	A686su	-0.00158971	0.0314594	-0.00439426	0.0187538	0.0206557	0.00647144	-0.0009854	0.0116595	0.0087088	0.0130947
A7	A7	0.0939049	0.0149881	0.0575639	-0.00379351	0.0313445	-0.00854292	0.0328746	0.0098105	-0.00199179	0.0542633
ARZM_16_011	ARZM_16_011	-0.0276797	-0.0282371	-0.000775036	0.0235189	-0.0111873	-0.00264389	0.00364742	0.0237359	0.0116267	0.00557158
ARZM_19_051	ARZM_19_051	-0.0143881	-0.0179282	0.00818835	-0.0366368	-0.0129659	0.0750457	0.00395637	-0.0118868	0.0123557	0.00150687
ARZM_19_057	ARZM_19_057	-0.0104908	-0.0177832	0.0147257	-0.019352	-0.0168982	0.0464334	-0.00938688	0.00434523	-0.00495457	-0.00945987
ARZM_19_069	ARZM_19_069	-0.0153191	-0.00912548	0.000258015	-0.0251642	-0.00771107	0.061764	-0.00652919	0.0104096	0.0126924	-0.0109796
ARZM_20_005	ARZM_20_005	-0.0139232	-0.0141141	0.00643362	-0.0196492	-0.00742488	0.054438	0.00363209	-0.0057051	0.0107752	-0.00487887
ARZM_20_006	ARZM_20_006	-0.0121502	-0.0263089	0.0175351	-0.00759623	-0.0089256	0.034759	0.00146918	-0.00662615	-0.00228866	-0.00614244
ARZM_21_002	ARZM_21_002	-0.00843535	-0.0484348	0.0342051	0.0089906	-0.0105289	0.00202802	0.0123628	-0.0330566	-0.0182356	-0.0097686
ARZM_21_006	ARZM_21_006	-0.0258475	-0.0375209	0.0126806	0.0316883	-0.00467241	-0.009334	0.0149502	-0.000305862	0.000448961	0.00554228
ARZM_21_007	ARZM_21_007	-0.0144613	-0.0195622	0.00965052	-0.0255193	-0.0101204	0.0575317	0.00468153	-0.00380533	0.00962161	0.000298142
ARZM_21_008	ARZM_21_008	-0.00956363	-0.0381887	0.0231833	0.00154104	-0.0035691	0.0207111	0.00373026	-0.018005	-0.00992425	-0.0122065
ARZM_21_009	ARZM_21_009	-0.0195233	-0.0356102	0.0148918	0.02712	-0.00918963	-0.0266883	0.00531696	0.000672425	-0.00176682	-0.00284883
ARZM_21_013	ARZM_21_013	-0.0178212	-0.0365837	0.0182547	0.0273028	-0.00703064	-0.00307586	0.0164645	-0.0086177	0.00670566	-0.000178681
ARZM_21_014	ARZM_21_014	-0.0125455	-0.0340622	0.018443	0.0232159	-0.00326923	-0.00398923	0.00884952	-0.00776201	0.00293125	0.00181606
ARZM_21_018	ARZM_21_018	-0.0106309	-0.0244938	0.0171404	-0.0233282	-0.00890603	0.05248	0.00775999	-0.0183696	-0.00272163	-0.00608281
AS11	AS11	-0.0194582	-0.00516743	-0.00186832	-0.0484577	-0.0125245	0.0815095	-0.00772397	0.00621602	0.0135678	-0.0268862
AS12	AS12	0.0216141	-0.021902	0.00921016	-0.00274142	0.0194652	0.027662	-0.0453526	0.0176076	0.0415725	-0.0140947
Amarillo_dulce	Amarillo_dulce	-0.00583215	-0.0554353	0.0348784	0.0197102	-0.0116997	-0.00761148	0.0116029	-0.0205647	-0.0150099	-0.0055132
Andjar_Bekaa	Andjar_Bekaa	-0.00513852	0.0148084	-0.019996	-0.126869	0.00805123	-0.0518191	-0.0127396	-0.0302704	-0.00417642	-0.0150642
Atkinson	Atkinson	-0.00570191	-0.0248952	0.0288968	0.00495388	-0.0222374	0.0266821	-0.0102672	0.00221606	-0.0252026	-0.0130316
Aunt_Marys	Aunt_Marys	0.00125527	-0.0273564	0.0356058	-0.0057901	-0.0336841	0.0236655	-0.0186773	0.00220202	-0.0414777	-0.0151891
B5765	B5765	-0.0255524	0.0138442	-0.0213526	-0.0541302	0.0019147	-0.0365237	-0.00816274	0.019301	0.00495232	-0.0145037
B5870	B5870	-0.0179419	0.0178667	-0.0137423	-0.0045135	0.000365669	-0.00514464	-0.010401	0.0321099	0.0193512	0.00350279
B84_plus_su	B84_plus_su	0.0888326	0.0775175	0.0757766	0.0100056	-0.0568208	-0.0110118	0.0532224	-0.000907967	0.0101495	0.00999914
Banting	Banting	-0.00709399	-0.0571316	0.0397436	0.0160421	-0.00278238	-0.0102879	0.00897544	-0.0327008	-0.01899	-0.00993335
Baxters_Golden_Bantam	Baxters_Golden_Bantam	-0.028625	-0.0349525	0.0108244	0.0358259	-0.013507	-0.00723749	0.0074188	0.016365	0.00620467	0.00307719
Bi_10	Bi_10	0.145209	-0.074853	-0.21193	0.0183614	-0.0881586	0.0134433	0.0581108	-0.0375194	-0.0150363	-0.00479748
Black_Mexican	Black_Mexican	-0.00690191	-0.0547539	0.0345301	0.00812686	-0.0046102	0.00576502	0.00268463	-0.0272996	-0.012655	-0.00956987
Burnell_Golden_Bantam	Burnell_Golden_Bantam	-0.0215976	-0.0444012	0.0260291	0.020748	-0.0101991	0.00203375	0.0118596	-0.0135675	-0.0085049	-0.00171985
C12-1	C12-1	-0.025208	-0.0440975	0.0180109	0.037525	-0.00167135	-0.0392866	0.019341	-0.0261969	-0.0243895	-0.00757676
C13	C13	-0.00961344	-0.0664705	0.036779	0.0367259	-0.00283073	-0.0475409	0.0186556	-0.0445328	-0.0367776	-0.00688948
C15	C15	-0.0136054	-0.057925	0.035465	0.0167416	-0.0103865	-0.00314793	0.022697	-0.0321945	-0.0144058	-0.0064138
C1540	C1540	0.122005	0.067971	0.0996646	0.00386586	-0.040626	-0.0192911	0.0797896	-0.0198533	0.00573266	0.110056
C18	C18	-0.0211517	-0.0386253	0.0126956	0.0215826	-0.0112805	-0.00017847	0.00721215	0.00261567	-0.00161051	-0.00145098
C2	C2	0.0968514	0.0213656	0.0422966	6.20621e-05	0.0171922	-0.0176959	0.0844077	0.00960775	-0.0232647	0.0939547
C22	C22	0.0109125	-0.0777873	0.0512784	0.028189	-0.00491617	-0.0291634	0.00670494	-0.0462015	-0.0382551	-0.0136977
C23_su	C23_su	-0.0270675	0.0356521	-0.0281683	0.0285995	0.0140037	0.00469616	-0.0117189	0.0266445	0.0379859	0.00401464
C27	C27	-0.0309854	-0.0250109	0.000388568	0.0328208	-0.0112476	-0.00498591	0.0033762	0.0314023	0.011301	0.0030007
C27red	C27red	-0.0155947	-0.00820462	0.00331074	-0.0542813	-0.0146041	0.0908109	-0.00709442	0.000397124	0.0165255	-0.0271754
C3	C3	0.00679123	-0.0660793	0.0437376	0.0278695	0.000653722	-0.0274215	-0.00243405	-0.0267424	-0.0234356	-0.00960538
C30	C30	-0.0384502	-0.00258816	-0.0198273	0.043126	-0.00760381	-0.0101498	-0.0109367	0.0639024	0.030677	0.00686169
C38	C38	-0.0215848	-0.0680546	0.0338114	0.0391967	-0.0112036	-0.016243	0.0189735	-0.0274274	-0.00276345	-0.00192331
C4	C4	-0.0185786	-0.0664196	0.0333831	0.0376009	-0.00585812	-0.0499462	0.0298283	-0.0509456	-0.0426645	-0.00306033
C40	C40	-0.0177064	-0.0532201	0.0243243	0.00746949	-0.016932	0.0074585	0.028921	-0.015745	-0.000750185	0.00590155
C42	C42	0.0212171	0.00209088	0.0287995	0.00695031	-0.0510665	0.00886928	-0.0299541	0.00923736	0.00474704	0.0106279
C5	C5	-0.0151851	-0.0351433	0.0167355	0.029964	-0.00641598	-0.0265159	-0.00787625	0.0126159	0.000382857	0.000520813
C65	C65	-0.0166533	0.00368174	-0.000341338	0.0047233	0.0294264	0.0734235	0.00937783	-0.0279691	-0.0677397	-0.0176633
C68	C68	-0.0125378	0.000326572	0.00660462	0.00200017	0.034832	0.0834937	0.015727	-0.0451606	-0.0890427	-0.0215126
C68Rx552_63	C68Rx552_63	-0.0232144	-0.0157077	0.00212371	0.0182663	0.00764113	0.0375752	0.013478	-0.00297312	-0.0341801	-0.00289792
C6A	C6A	-0.0185934	-0.0598064	0.0328874	0.019899	-0.0123418	-0.00636743	0.0273472	-0.0309002	-0.00604628	0.00174387
C7	C7	-0.0237357	-0.0561873	0.0261099	0.031487	-0.0152672	-0.0138645	0.0254289	-0.0112252	-0.0104949	0.00526745
C7e	C7e	-0.0193361	-0.0537003	0.0279928	0.02535	-0.00551649	0.00249222	0.0269815	-0.0306408	-0.0229568	-0.00372891
C81	C81	0.0610119	-0.0565214	0.0523695	0.0165374	0.0653491	0.00835128	-0.0777162	-0.0213628	0.0424161	-0.0315107
C8pseudo	C8pseudo	-0.0148988	-0.0603913	0.0287652	0.0223384	-0.0157049	-0.00550402	0.0245112	-0.0164554	-0.00455817	0.00490068
C90	C90	-0.00314478	0.0559642	-0.0138749	0.0313338	0.0216534	-0.00984527	0.0057247	0.0306737	0.0230296	0.0617686
CHZM_08_129	CHZM_08_129	0.00610111	-0.0571305	0.0434555	0.00614285	-0.00392993	0.00132267	-0.0030127	-0.0285178	-0.0174691	-0.0183931
CI540	CI540	0.0972307	0.060192	0.0785623	0.00727719	-0.0324403	-0.00952455	0.0634896	-0.00446889	0.0113447	0.0949171
COES25A-1	COES25A-1	-0.0210105	0.00633742	-0.0167937	-0.00668545	0.00887155	-0.0310655	-0.00697829	0.00574425	0.00291604	-0.00519027
COES28A-1	COES28A-1	-0.0113507	0.000877933	-0.00949206	-0.0183218	0.00774713	-0.0531821	-0.00409604	-0.00580429	-0.00975953	-0.00564797
COES46A-1	COES46A-1	-0.0228063	-0.000514112	-0.010841	0.00928816	0.00647577	-0.0147656	0.00218599	0.00167971	-0.00360295	-0.00623467
CRC_61	CRC_61	-0.0130832	-0.0357168	0.00563144	0.016469	-0.0103968	-0.00282175	0.0141619	-0.00331746	-0.00953284	0.00664765
CTS62_Su	CTS62_Su	0.0938855	0.0724721	0.0815054	0.00832386	-0.0268259	0.00717082	0.0926286	0.0406563	0.00866686	-0.0408836
CTS6_1	CTS6_1	0.0933701	0.065117	0.0781249	0.00194694	-0.0196267	-0.00702184	0.100765	0.0355103	0.0102163	-0.027966
Chihuahua_151	Chihuahua_151	0.102281	-0.0437298	0.0503897	0.0017148	0.0939053	0.00012172	-0.127192	-0.00764851	0.0557903	-0.031091
Chile_332	Chile_332	0.0069919	-0.028704	0.0246949	-0.00766023	-0.00233334	-0.00976773	0.00180294	0.00385724	-0.00708747	0.00892889
Chile_335	Chile_335	-0.0212906	-0.0412591	0.0194804	0.0199594	-0.00843572	-0.000408835	0.0146021	-0.0101562	-0.00351745	0.00179252
Chile_339	Chile_339	-0.0125644	-0.0475959	0.030304	0.00586751	-0.00661941	0.00884065	0.00695629	-0.0261344	-0.0128547	-0.0117357
Country_Gentleman	Country_Gentleman	-0.0183523	-0.0094605	0.00269481	-0.0528368	-0.0143077	0.0850323	-0.00635654	0.00458614	0.0154357	-0.0265988
Cubano	Cubano	0.114243	-0.018424	-0.00617481	-0.00931984	0.0527762	-0.000847612	-0.0740804	0.054746	0.0231593	0.01267
Cuzco_suse	Cuzco_suse	0.0609408	-0.00153756	0.017168	-0.0211682	0.0415935	-0.0173273	-0.066686	0.0203167	0.0142373	-0.00163015
DF14	DF14	0.0886059	0.0438605	0.0783141	-0.00611369	0.0637799	-0.0108007	0.157347	0.0780726	-0.0397474	0.282011
Doce_de_Cuba	Doce_de_Cuba	0.115405	-0.0168047	-0.0128668	-0.0172407	0.0477449	0.000632836	-0.0842739	0.0613199	0.0106983	0.0069412
EP58	EP58	-0.0181014	0.0388515	-0.0186534	-0.0334452	0.00824954	0.0274259	-0.0121877	-0.0179324	0.0314443	-0.0110845
EP60	EP60	-0.0212244	-0.022827	0.00394305	-0.0280461	-0.0144277	0.0565975	0.00762852	-0.00264479	0.0133775	-0.0100435
EP61	EP61	-0.0289922	-0.0170974	-0.00692882	0.0174993	-0.00488617	0.0043344	0.00514543	0.0277676	0.0103478	0.00604723
EP62	EP62	-0.0292219	-0.0137176	-0.0107507	0.0183626	-0.00345497	0.0154162	-0.000673139	0.0300928	0.0119404	0.00523919
EP82	EP82	-0.0194377	0.0141566	-0.0155457	0.0145555	0.0065284	0.0044648	-0.0129784	0.0167106	0.0157405	0.00361773
EP83	EP83	-0.0301575	0.015675	-0.0257523	0.0162198	0.00462679	0.0137306	-0.0201699	0.0498115	0.023272	-0.000801705
EP84	EP84	-0.0213982	-0.00449032	-0.0124861	0.0169548	0.00302659	-0.00340421	-0.00582499	0.0359759	0.00403995	-0.0026816
EP85	EP85	-0.0193829	-0.00117305	-0.0198266	0.0188774	0.00748375	-0.0170335	-0.00320614	0.0413904	0.0106202	0.000883363
Early_Evergreen	Early_Evergreen	-0.0127384	-0.0170821	0.00714637	-0.0176198	-0.00959668	0.0507563	-0.00301657	-0.0036862	0.00275463	-0.0096292
Early_June	Early_June	-0.00496847	-0.0601089	0.0425832	0.0208797	-0.00284363	-0.0116339	0.0130588	-0.0371546	-0.0202492	-0.0110064
Eskisehir	Eskisehir	-0.0248063	-0.049088	0.0210245	0.0317435	-0.0100949	-0.0104741	0.0208223	-0.0128798	-0.00574965	0.00281368
F2	F2	0.0876224	-0.046181	0.0708933	0.00861998	0.0499992	-0.00817664	-0.0334711	-0.0509045	0.00701091	-0.0186947
F7	F7	0.0705803	-0.0619035	0.0629348	0.0150747	0.0454855	-0.0168715	-0.0337104	-0.0548698	0.00393975	-0.0149805
FL32	FL32	-0.00510275	0.0246121	-0.0194107	0.00259682	0.0047364	0.0103525	-0.000316333	0.0631488	0.0114924	0.000666745
FL52	FL52	-0.0329039	0.0101466	-0.0277137	0.0109396	0.00619683	-0.0251846	-0.00544894	0.0494192	0.0194538	-0.00665831
G8	G8	-0.025558	-0.0090493	-0.00278791	-0.0246558	-0.0131273	0.0613003	0.000846525	0.0160828	0.0348532	0.0020194
GMBAB	GMBAB	-0.0103631	-0.0702714	0.0517498	0.0239564	-0.0087296	-0.0184237	0.0286118	-0.0502278	-0.0350988	-0.0150396
GSSS_sh2	GSSS_sh2	0.0273052	0.00185571	0.033035	0.035406	-0.0200608	-0.0214113	0.0255938	-0.010889	0.0129443	0.00638222
GTS1	GTS1	-0.0174469	-0.00392965	0.00468591	0.0155898	-0.032141	0.0138064	-0.0261765	0.0387608	-0.0226394	-0.0152431
Glancaster_sh2	Glancaster_sh2	0.0249696	-0.00842699	0.035773	0.029565	0.000239091	-0.0244932	0.039917	0.00276119	-0.0112124	0.0207073
Golden_Bantam	Golden_Bantam	-0.0275377	-0.0511157	0.020584	0.0313148	-0.00976485	-0.0143294	0.0182116	-0.011077	-0.00223498	0.00263233
