vcfID,Group
wuh09093i,Modern_sh2-i
wuh09144i,Modern_sh2-i
wuh09149i,Modern_sh2-i
wuh09164i,Modern_sh2-i
wuh11801i,Modern_sh2-i
wuh07466i,Modern_sh2-i
wuh09170i,Modern_sh2-i
wuh07481i,Modern_sh2-i
wuh12019i,Modern_sh2-i
wuh09153i,Modern_sh2-i
wuh11810i,Modern_sh2-i
wuh09097i,Modern_sh2-i
Wuh09188i,Modern_sh2-i
wuh09150i,Modern_sh2-i
wuh07469i,Modern_sh2-i
wuh07429i,Modern_sh2-i
wuh09098i,Modern_sh2-i
wuh09191i,Modern_sh2-i
wuh12037i,Modern_sh2-i
wuh11816i,Modern_sh2-i
wuh09174i,Modern_sh2-i
wuh12039i,Modern_sh2-i
wuh07422i,Modern_sh2-i
wuh11809i,Modern_sh2-i
wuh11813i,Modern_sh2-i
wuh09183i,Modern_sh2-i
wuh08127ia,Modern_sh2-i
L17-1-1-1-1-1,Modern_sh2-R
K164-1-1-1-1-1,Modern_sh2-R
M31-1-1-1-1-1-1,Modern_sh2-R
M90-1-1-1-2-2-1-1,Modern_sh2-R
I22-1-1-1-1-1-1,Modern_sh2-R
wh12001,Modern_sh2-R
wuh07186i,Modern_sh2-R
I97-1-1-1-1-1-1,Modern_sh2-R
N11-1-2-1-1-1-1-1-1-1,Modern_sh2-R
wh14082V,Modern_sh2-R
We17421,Modern_sh2-R
wh11008,Modern_sh2-R
Wh94053,Modern_sh2-R
I108-2-2-2-2-1-1-1,Modern_sh2-R
N46A-1,Modern_sh2-R
wh13041,Modern_sh2-R
K120-1-1-1-1-1-2-1,Modern_sh2-R
I31-1-1-1-2-1-1,Modern_sh2-R
COES28A-1,Modern_sh2-R
Wh98063,Modern_sh2-R
I94-1-1-1-1-1-1-1,Modern_sh2-R
Wh09087,Modern_sh2-R
wh10127R,Modern_sh2-R
K113-2-1-2-1-1,Modern_sh2-R
N38-2-1-1-1-1-1-1,Modern_sh2-R
L108-2-1-1,Modern_sh2-R
N99-1-1-1-1-1-1-1,Modern_sh2-R
wh11017a,Modern_sh2-R
UFI9EC,Modern_sh2-R
