geno	ID	AC_GxE	AC_noGE	COV_GxE	COV_noGE	CUR_GxE	CUR_noGE	DTS_GxE	DTS_noGE	SC_GxE	SC_noGE	SOL_GxE	SOL_noGE	TBN_GxE	TBN_noGE	TP_GxE	TP_noGE	TPF_GxE	TPF_noGE	GER_GxE	GER_noGE	DTP_GxE	DTP_noGE	EH_GxE	EH_noGE	PH_GxE	PH_noGE	FLH_GxE	FLH_noGE	TE_GxE	TE_noGE	TIL_GxE	TIL_noGE	LA_GxE	LA_noGE	EL_GxE	EL_noGE	EW_GxE	EW_noGE	SL_GxE	SL_noGE
13B-587-68A	13B-587-68A	1.983081504	2.869855526	0.831982186	0.831371791	23.03409071	12.11968906	68.13534582	74.94068319	1.979951412	2.930777641	0.933075712	0.906824681	9.97368732	-0.599058257	96.08640364	49.41981821	0.893345971	0.93313591	54.62891499	36.74273618	63.64837188	58.91039776	37.59438017	32.44776182	152.4038408	132.2352929	111.007018	96.84461745	41.45600816	34.80348249	2.111606544	-0.094170032	44.49348867	45.00744898	119.4642164	141.7045369	37.0562254	38.93112159	36.61077857	95.7078705
14H-588-68B	14H-588-68B	1.983081528	2.564551596	0.827121907	0.826170997	30.54322422	18.45728113	68.86946856	69.80069252	1.646359726	2.455672875	0.940344376	0.923130146	9.022118521	1.148986562	75.7728675	59.78427123	0.90092755	0.851629363	14.02686234	24.67310168	61.63364821	56.60297018	46.23066807	41.01271325	188.282839	169.3377836	145.6445039	129.9205141	42.39399945	37.18787121	1.365476631	0.058123012	46.10151572	51.02101962	122.8252099	144.5710224	37.38759979	39.31256622	163.1107782	106.6552015
176	176	1.983082192	2.564551883	0.837754151	0.837967767	19.94236542	14.42541004	56.31145104	59.35005974	-0.022736554	1.211987369	0.940239833	0.924320347	5.676953341	-3.684104444	119.2395897	70.33110731	0.907919513	0.896567358	78.39335404	74.14521	43.15699482	46.2287017	39.67885357	28.76476886	166.9033303	108.104498	122.1302431	77.94703285	44.39458498	29.39394608	0.539720901	-0.99578666	35.3595856	31.53161155	150.5325826	142.7802571	40.84928624	39.51673175	105.7245832	98.58958399
197A-381-68A	197A-381-68A	-0.016918205	0.869855609	0.819488917	0.823302665	15.76929631	11.85461584	63.05716965	67.7594154	-0.01676157	0.931294417	0.946809548	0.917363725	10.33613141	1.516161656	109.4007237	58.82608351	0.873500684	0.87292757	52.9646828	51.15533331	59.69167603	54.40328781	25.64081378	34.36944516	163.9887438	155.8868319	124.4936077	122.4365386	39.49654291	33.4000497	0.207759842	-1.16013842	54.12318102	48.86464395	154.987116	145.4005606	40.49992807	38.97849706	122.2774456	101.8324943
2	2	1.974622037	1.770999202	0.830220522	0.827321713	10.97298965	6.181474991	70.83296956	72.25493718	1.964480474	2.762654283	0.927009263	0.917557129	7.672186802	-0.378093333	73.04232521	46.91921726	0.893232616	0.900255602	26.22017561	33.96914999	68.19167603	60.463078	46.64081378	36.55241978	143.4887438	119.3998405	115.4936077	97.02058653	27.49654291	21.37108289	1.707759842	-0.039947755	35.62318102	37.98760443	101.1590385	142.1751544	28.77774439	38.33113823	51.25000177	96.17147191
21-396-68B	21-396-68B	0.002274679	0.899270252	0.868126359	0.854223373	9.179704307	5.948852785	67.28433224	66.78711345	-0.013406656	0.945328196	0.940164268	0.932133379	7.061668824	0.638779097	71.90256	59.41062673	0.936279146	0.92774111	31.6692902	44.81421312	58.07890691	53.74510057	44.89611181	36.16065368	183.6228691	162.6470998	144.2840403	124.2973285	39.4219567	36.92724919	1.077481351	0.167856563	42.12831171	42.66934985	105.4792907	143.8739325	30.30510486	38.87697371	161.2357783	105.4036789
226	226	1.983081846	2.411899658	0.829279598	0.824436017	17.69450206	9.390602308	53.415267	61.15604802	-0.015669903	1.355818097	0.939543241	0.916778042	5.426430453	-2.531800677	102.5484248	57.97480596	0.928263327	0.914393992	70.38914798	52.72683853	43.01514592	47.08512041	32.29171469	24.35351491	169.0894224	104.8469544	127.5907527	78.6174648	41.38298212	25.43020643	0.62711121	-0.388394629	40.35984503	37.60419764	149.9352263	142.9547853	40.50315616	39.24741305	104.8010383	98.81597757
245	245	0.002274845	0.899270271	0.867175076	0.84165209	11.65641273	8.034607745	71.03098425	72.95992914	-0.008295191	0.945318725	0.946974066	0.918907002	9.318907358	1.526916634	70.8199391	36.88720276	0.835675405	0.847642121	16.77035876	17.1497574	70.19095676	57.75872279	46.11962573	38.98931592	159.8791848	153.2380849	117.9818928	116.9069727	41.58606303	35.88809321	3.611342861	1.593126066	31.27836846	31.36854089	150.4157103	142.8594034	39.59439892	38.34494231	72.86077867	103.4111521
257A9	257A9	1.98308171	2.411899728	0.79410267	0.807347113	18.16592248	8.576694443	63.18146311	64.94166717	1.978032902	2.929558499	0.915106476	0.904949028	4.794112269	-2.778184363	83.30461941	52.25307769	0.912930835	0.890241234	22.21164413	32.69775674	51.40390804	51.52348192	50.26279456	43.60047925	192.2458634	138.6804379	152.6175197	111.7768884	39.21252461	25.52498588	0.54047338	-1.198618366	64.86052385	61.57547979	149.9840943	142.3623871	39.83616307	38.77935527	107.5304378	100.2034886
34f	34f	-0.016918359	0.869855721	0.819480902	0.820208114	13.14277628	7.084135856	68.8282808	72.87225598	-0.019708009	0.930844418	0.939830534	0.921034634	9.841350027	2.019858649	73.35860754	35.77844938	0.851424079	0.840083369	56.91925769	56.88129048	68.57890691	60.4072751	37.39611181	28.55719507	138.6228691	113.6871284	104.2840403	90.01720157	33.9219567	23.6029647	1.077481351	0.372198892	41.12831171	35.28679621	141.9792907	143.4530933	30.80510486	38.61192503	135.4441132	100.7408044
442A-431-68D	442A-431-68D	1.983081481	2.717203545	0.834193737	0.833634277	20.20029659	13.99661178	66.7504535	71.44998972	1.646388474	2.695961323	0.923367157	0.910903868	6.981446554	0.288521923	100.3245731	79.72948077	0.913355798	0.922218087	32.40368128	46.71269688	63.57890691	56.70727722	59.39611181	43.56351364	195.6228691	170.9580899	161.7840403	141.3232644	33.9219567	29.19123975	0.577481351	-1.232168746	54.62831171	52.23331425	98.47929065	142.7638151	31.80510486	38.93488444	111.7357794	103.4544654
469	469	1.983081257	2.259247195	0.843317869	0.848451542	14.10452953	6.624422582	53.76471296	59.07176065	0.311916403	1.405012818	0.947411748	0.936905863	6.987633635	-0.537815771	77.57754319	49.00322824	0.912942541	0.916865402	55.42224688	60.52597627	52.64837188	46.43881433	22.09438017	31.76953717	119.4038408	129.059347	81.50701804	98.23204896	37.45600816	30.68063787	2.611606544	-0.115329223	39.99348867	38.03450133	131.9642164	146.1744008	34.0562254	39.07551763	50.3607797	98.46109511
471_U6	471_U6	1.983081574	2.717203538	0.823184189	0.84134102	14.8517381	7.33526414	69.75174726	71.57859209	-0.023007738	1.211363437	0.934248292	0.927109795	6.982562498	-0.08973957	82.1507455	46.20938834	0.957697654	0.931473437	43.30738895	51.69373493	62.07890691	57.96166622	51.39611181	39.77449635	166.1228691	148.5468896	126.7840403	112.4320172	38.9219567	35.1603604	2.077481351	0.611846154	19.12831171	24.35722082	101.4792907	143.0154956	28.80510486	38.82108646	63.36077814	98.93772864
592	592	1.983081723	2.307961289	0.868481473	0.861833315	10.09140695	5.279368241	58.73210752	61.75220266	1.644510792	2.364701931	0.952072751	0.935379901	9.349361635	0.14872281	65.96954239	32.70360569	0.95635897	0.953636882	85.2968071	67.81288463	58.14837188	48.784358	25.09438017	31.33670275	139.9038408	133.6964124	103.507018	102.1560607	35.45600816	30.52077696	2.611606544	0.83078488	69.99348867	62.15573153	134.9642164	146.269968	28.5562254	38.53146086	104.3100955	97.3302796
789	789	-0.016918203	0.869855609	0.847846101	0.852895874	16.10177052	12.12401594	56.24102317	59.81725321	-0.019709039	0.930155555	0.939574976	0.917820339	6.725026233	-2.942638183	87.72974208	41.29289383	0.899684798	0.894345138	50.5887968	43.49219432	51.76264707	46.76450569	23.67017823	23.24937666	117.2745308	101.5401405	86.12812687	76.47978544	30.92425009	24.27896071	1.837564628	-0.046725142	46.71459735	42.0532744	127.8350735	147.0525867	31.48523669	38.96782676	113.8607791	99.55497079
81-1	81-1	5.75E-07	0.912738336	0.88411162	0.88905791	9.351017869	3.607029303	78.62264735	87.40279937	0.002552494	0.935427913	0.920612158	0.903476986	16.41060453	8.314759799	46.36120536	8.471092269	0.970485363	0.962784283	28.22092023	25.31682636	66.81766912	72.78167168	78.06715867	66.79311804	232.465014	173.6300923	181.9217988	135.6302478	50.13538728	36.77441751	1.090849292	-0.67959749	38.19338607	31.94797887	151.3187142	144.195909	38.83011805	37.74878182	108.0312522	100.7115867
83610b	83610b	1.649748274	2.536522335	0.807221612	0.786499842	11.24913098	9.88055841	62.18625342	65.98471641	1.975021177	2.786369356	0.944533431	0.915988201	11.40433536	3.119009043	68.89252403	35.91149729	0.95035509	0.949743577	50.39010413	43.14984802	60.00793588	53.44004391	29.36674736	33.37919034	165.3370822	148.2741474	126.1495211	112.8575863	38.99424952	33.33629847	-0.052323435	-1.059282689	50.03689537	44.17884878	144.8032556	146.6115827	34.59761256	38.93590299	32.98577979	97.17456806
83612b	83612b	1.983081964	2.869855949	0.853027962	0.852843214	12.47215278	5.770608533	62.48652508	66.95099525	1.98090257	2.930712418	0.961663148	0.94545732	6.653145642	-0.572640073	90.66888812	55.71849413	0.941319626	0.93482258	67.48131557	69.67271081	58.70461924	53.83601959	26.26003252	30.31362512	147.5686259	133.4996941	112.2790231	107.6023016	34.82170663	25.62417876	0.495281418	-1.069536749	34.69293206	32.46993608	108.001245	143.7802275	31.5950921	39.15743812	85.98577911	99.20830536
908	908	-0.016918242	0.869855776	0.846154892	0.833428363	13.14084336	10.83423637	56.46767834	61.27895807	-0.02459984	0.928659296	0.944014432	0.921220211	7.873677629	-1.168610748	77.19426731	50.00716914	0.947834031	0.905378932	59.54828622	55.59017114	64.07890691	50.96990555	15.39611181	33.90571175	120.1228691	129.741304	84.28404028	98.23865608	35.9219567	30.4599376	5.077481351	0.799571388	49.12831171	45.50549281	154.270272	146.986981	39.98868256	38.92375969	67.98577846	99.23121228
