geno	ID	STC_19	DTP_19	EH_19	PH_19	FLH_19	TE_19	TIL_19	LA_19	EL_19	EW_19	KRN_19	GER_19	NEL_19	SL_19	GER_21	LA_21	EH_21	FLH_21	PH_21	TIL_21	TBN_21	DTP_21	AC_21	DTS_21	SC_21	ASI_21	TE_21	TPF_21	SL_21	EL_21	EW_21	COV_21	SOL_21	TP_21	CUR_21	PH_22	FLH_22	EH_22	LA_22	NES_22	TIL_22	TBN_22	EL_22	SL_22	EW_22	COV_22	SOL_22	TP_22	CUR_22	TPF_22	STC_22	DTP_22	AC_22	DTS_22	SC_22	HP_22	TE_22	Carb_Starch.BLUP	Carb_Total.Polysaccharides.BLUP	Carb_WSP.BLUP	Carb_Glucose.BLUP	Carb_Fructose.BLUP	Carb_Sucrose.BLUP	Carb_Total.Sugar.BLUP	Vol_beta_pinene	Vol_β_Myrcene	Vol_beta_ocimene	Vol_linalool	Vol_DMNT	Vol_benzyl_acetate	Vol_methyl_salicylate	Vol_Phenethyl_acetate	Vol_Indole	Vol_methyl_antranilate	Vol_cyclosativene	Vol_epi_sesquithujene	Vol_β_trans_Caryophyllene	Vol_trans_α_Bergamotene	Vol_β_Farnesene	Vol_Humulene	Vol_Germacrene_D	Vol_β_Bisabolene	Vol_β_Cadinene	Vol_γ_Cadinene	Vol_Cadina_diene	Vol_trans_Nerolidol	Vol_TMTT	Vol_Caryophyllene_epoxide	pg21_BLUE	pg28_BLUE	ww21_BLUE	ww28_BLUE	adjpg21_BLUE	adjpg28_BLUE	spg21_BLUE	spg28_BLUE	sww21_BLUE	sww28_BLUE	sadjpg21_BLUE	sadjpg28_BLUE
13B-587-68A	13B-587-68A	10.40647569	63.64836439	37.59507993	152.4038805	111.0070372	41.45592234	2.111606205	44.49346972	119.6100302	37.05640042	13.00750573	80.52123249	1.410320157	36.6107732	54.62889665	49.38294738	24.96137585	88.90548886	129.3181299	1.377718045	9.973673463	65.9205884	1.983081587	68.1353457	1.979950447	-2.409897689	40.24118022	0.893346108	3.917633204	11.81816439	4.023842074	0.831982201	0.933075676	96.08504604	23.03411364	108.8305751	76.76726866	19.15454601	52.01053816	1.092759263	0.640994249	4.879066822	7.667350247	3.070291209	2.459739268	0.810207632	0.902087596	64.08964852	13.02444824	0.986690779	14.71149409	68.7615821	1.988781423	72.68331942	1.998594742	2.014218492	32.39000924	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	106.1569314	98.52169342	71.96587514	57.55250171	376.0441507	232.7803895	105.6161355	97.74588266	71.99001655	57.71897269	373.3688281	230.2554127
14H-588-68B	14H-588-68B	8.145945343	61.63364469	46.23097024	188.2828635	145.6445119	42.39560233	1.365486478	46.1014928	122.9787011	37.38782815	13.11337709	31.20184831	6.846297489	163.1107691	14.02684877	59.09599301	32.10824618	123.901427	165.0511179	1.514832577	9.022097911	69.21099308	1.983081599	68.86946847	1.646358988	0.203445108	40.81988121	0.900927713	17.17578201	13.95929469	3.417299111	0.827121407	0.940344226	75.77113374	30.5431866	154.3491325	110.3010828	29.99857442	56.7979482	1.842759642	1.116646296	9.431911612	11.5766085	12.68977135	3.573051676	0.806548133	0.931559627	87.18760302	20.60696187	0.867152746	63.7802115	61.43357975	1.322114759	61.79403932	1.331925391	4.455791832	43.35731499	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	81.55222399	126.0716935	71.44382789	56.60256172	282.2079859	292.5931126	81.05428113	125.2959509	71.50662008	56.76901501	281.3201935	290.0684213
176	176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78.39339463	33.80001097	23.24706193	67.21615232	100.1306818	0.108403531	5.676941802	54.81700435	1.983081939	56.31145123	-0.022734902	-1.482019292	32.82033257	0.907919564	6.018270634	11.27276783	4.114555835	0.837754261	0.940239998	119.2395648	19.94236225	97.79296603	64.15097802	14.48865727	42.02901354	1.342760377	0.268028367	2.843072371	10.01082981	6.427032632	3.381859417	0.816312189	0.934134911	80.4453229	19.20406324	0.922648765	81.70365081	54.38516276	1.32211473	53.61326899	0.665262253	1.241781687	33.81306028	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
197A-381-68A	197A-381-68A	3.145491806	59.69168358	25.64050364	163.9887154	124.4935944	39.49633621	0.207755852	54.12319098	NA	NA	NA	23.73783306	4.611883055	122.2774445	52.9646521	50.52152172	31.05550843	113.0139388	151.7165717	-0.023594131	10.33613559	63.53961467	-0.016918264	63.05716941	-0.016765792	0.50554729	39.14310683	0.873500656	7.470318753	15.72731002	3.765199336	0.819488754	0.94680949	109.4005678	15.76926542	145.8848291	111.973048	23.01500837	55.78517504	0.926095802	0.30010297	8.742931996	10.48569107	11.99186107	2.650619745	0.806549998	0.904664288	67.41607155	18.19102921	0.909066574	64.12038629	62.05366004	-0.011218769	63.3281245	-0.00140882	1.318878612	33.94716235	NA	NA	NA	NA	NA	NA	NA	1274769	148876.6667	258913.3333	234634	4534764.333	28619.33333	3871.666667	10641.66667	5118887	53382.66667	1113307.333	60362	138143	1431146.667	2309757	120224.6667	242537	67956.33333	148827	233398.3333	434507	25602.66667	191825	6334.666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	2	6.645491806	68.19168358	46.64050364	143.4887154	115.4935944	27.49633621	1.707755852	35.62319098	101.1987946	28.77754641	10.9676838	50.63783306	2.346291227	51.2500209	26.22015658	44.68847134	22.63410581	75.35220552	99.41400866	1.1914962	7.672191618	71.41389571	1.974622269	70.83296968	1.964484399	0.735464628	24.00481598	0.893232474	3.948498804	10.07299696	2.477306916	0.83021977	0.927008966	73.04196013	10.9730114	121.5303986	93.00890007	34.91574546	40.95971133	1.842761644	1.12541198	7.707488967	10.21000894	3.419073791	2.78846581	0.801430666	0.937370155	76.48228102	11.91060061	0.942095791	67.05821725	64.64280679	-0.011218519	64.78523741	1.665259427	0.575641258	28.11553097	16.59656083	35.88754883	19.13756903	3.897333755	3.644814644	8.950750552	15.7513449	64709	109194	98479	181020	832298	5793	31	112211	419446	749	20795	864	16436	6045	15350	21462	3054	14451	7858	11667	20492	1519	110014	603	83.90875878	104.160008	68.72924423	53.10002281	269.8617393	222.0895637	84.56872214	104.1600784	68.76896992	53.10000231	269.7776739	222.0895792
21-396-68B	21-396-68B	11.33789576	58.07890387	44.89635606	183.6228845	144.2840474	39.4219893	1.077482578	42.12830549	105.8783559	30.30505101	12.58019443	88.03569105	8.688933441	161.2357695	31.66930897	48.04955128	24.36838801	105.6775609	148.2446581	1.624752352	7.061663493	67.77357559	0.002274521	67.28433164	-0.01340638	0.529885643	42.33922074	0.936278886	13.04907017	11.39733517	2.586553708	0.868126708	0.940164457	71.90285835	9.179698953	159.6474726	116.6134546	32.10616718	46.93235979	1.676093358	1.426663676	10.28250244	12.065675	12.79279553	3.618647467	0.821062673	0.949221141	94.70546735	12.26558194	0.956565895	87.97162733	59.09913697	-0.01121862	58.97563947	-0.001404756	4.693171106	42.82474158	NA	NA	NA	NA	NA	NA	NA	207817	137806	54751.66667	894274.6667	1711383.333	30694.33333	132884	2752	2992225.667	40843.33333	372164	19320	1861682	843681	1644767.333	539330	163191.3333	50126	65646	46504.33333	160983	88538.66667	289785.6667	123497	110.082861	142.0099921	69.58011592	42.89998764	359.40584	248.7040136	109.4442153	142.0098846	69.59174905	42.89997126	355.6224127	248.7038547
226	226	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70.38910155	38.80022006	15.8599194	72.67669995	102.3167879	0.195793272	5.426426557	54.67515664	1.983081762	53.41526742	-0.015675218	1.21065019	29.80873039	0.928263402	5.094714319	10.67541978	3.768426843	0.82927939	0.939543133	102.5474632	17.69448545	88.42155329	59.94027591	17.11778401	50.38294688	1.592759451	1.500261742	5.846003139	11.09119618	8.079263757	3.19664469	0.795896414	0.914797439	70.98111591	11.39290316	0.939025689	33.81724077	56.32908144	0.988781477	60.19775364	0.998593838	2.178101324	28.46113253	NA	NA	NA	NA	NA	NA	NA	111105.6667	53502.33333	65272	278404.3333	931684.3333	24763.66667	20380.33333	471	150783.6667	1246	32830	5069	538722	107266.6667	216176.3333	241934.3333	46939	22451.33333	12920	189726.3333	92150.33333	11716.33333	220463.3333	19493.33333	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
245	245	1.145038269	70.19097346	46.11837622	159.8790961	117.9818556	41.58386072	3.611326934	31.27842197	NA	NA	NA	8.68450863	1.856361988	72.86077442	16.77033983	35.47237241	32.07213493	106.4285276	146.7908753	3.216209514	9.318916472	66.99374969	0.002274606	71.03098516	-0.008299951	-3.967569197	40.41181226	0.835675364	9.447484214	11.15590825	2.859670919	0.867175615	0.946974133	70.82046625	11.6563954	145.4344852	106.7002492	27.83262243	37.26197368	1.00942796	2.353353903	10.00655996	10.31893482	12.384718	2.375344725	0.797895762	0.91375128	59.43393711	13.9547692	0.887071954	36.14383855	62.99091009	-0.011218636	66.25228536	-0.001406789	1.806994131	38.85930408	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	68.049364	100.4400028	66.79754918	47.80001735	203.9334464	192.4138019	67.17780441	100.4400497	66.88947447	47.80001562	200.6044026	192.4139342
257A9	257A9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.21166164	63.30076716	33.83097441	97.70341819	125.4732104	0.10915602	4.794105501	63.06391707	1.983081692	63.18146306	1.978033813	-0.140320432	27.63827298	0.91293066	7.824119995	10.72423639	3.101432268	0.79410271	0.915106379	83.30393859	18.1659275	139.3592816	104.9917776	40.85367402	73.23024805	2.009427567	-0.207648584	5.928928687	9.661559836	7.656078685	2.992920703	0.803428654	0.924960378	77.71075994	9.172724847	0.906966368	69.87684737	57.07386401	0.98878154	57.91079357	1.998594895	2.51671161	33.64229307	26.8405263	31.6647912	5.087299284	5.450694402	5.784259588	6.910270826	16.4256302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
34f	34f	1.837895756	68.57890387	37.39635606	138.6228845	104.2840474	33.9219893	1.077482578	41.12830549	142.3783559	30.80505101	13.08019443	14.98569105	5.765492283	135.4441215	56.9192429	41.32470145	20.89503666	80.51052063	106.3220854	2.012766068	9.84136131	69.46788113	-0.016918343	68.82828136	-0.019709358	0.564124171	25.90659354	0.851424144	11.17525977	11.86800569	3.147883819	0.819480927	0.93983042	73.35801681	13.14278947	95.91681072	71.71563005	13.30715034	32.23097567	1.092758653	1.564919262	10.30079448	10.69492814	5.620915548	2.632514645	0.800259065	0.925738902	56.51032343	11.33017743	0.865573923	71.22602589	66.71772808	-0.0112186	68.37939456	-0.001406161	2.660049256	24.19382432	18.73384553	17.90602053	2.662399163	4.83928412	5.784019932	17.40053927	23.88244563	150063.5	55622.5	35410	513575.5	2054244	39145	3310	13106.5	896981	19633.5	138054.5	33357.5	136321	1180103	2429651.5	123724	1135201	182654	15679	69847	301520.5	164576	313896	4357.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
